epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.64415,1.2876,0.71206,0.98638,0.78158,0.000328889,0.000328889,0.06744
2,8.2432,0.68617,0.78405,1,0.54856,0.000655666,0.000655666,0.0344334
3,10.7399,0.52827,0.80934,0.99805,0.69444,0.000975844,0.000975844,0.00142029
4,13.0848,0.45331,0.85603,0.99416,0.4442,0.0009703,0.0009703,0.0009703
5,15.4473,0.43973,0.87743,0.99611,0.31109,0.0009604,0.0009604,0.0009604
6,17.9441,0.37485,0.90856,0.99805,0.34651,0.0009505,0.0009505,0.0009505
7,20.2898,0.3233,0.90661,0.99805,0.25218,0.0009406,0.0009406,0.0009406
8,22.6698,0.28523,0.89883,1,0.48351,0.0009307,0.0009307,0.0009307
9,24.9974,0.24624,0.91051,0.99805,0.27187,0.0009208,0.0009208,0.0009208
10,27.3608,0.22644,0.91051,0.99611,0.26988,0.0009109,0.0009109,0.0009109
11,29.7403,0.2205,0.91245,1,0.23877,0.000901,0.000901,0.000901
12,32.1589,0.23962,0.92607,1,0.33803,0.0008911,0.0008911,0.0008911
13,34.5606,0.16045,0.91634,0.99805,0.29758,0.0008812,0.0008812,0.0008812
14,36.9437,0.14909,0.92802,0.99805,0.24481,0.0008713,0.0008713,0.0008713
15,39.3512,0.15596,0.90856,0.99805,0.3817,0.0008614,0.0008614,0.0008614
16,41.7225,0.15688,0.90272,0.99805,0.28921,0.0008515,0.0008515,0.0008515
17,44.1866,0.16291,0.87354,0.99805,0.4531,0.0008416,0.0008416,0.0008416
18,46.6215,0.15482,0.92607,0.99611,0.24911,0.0008317,0.0008317,0.0008317
19,49.0682,0.13791,0.92412,1,0.27613,0.0008218,0.0008218,0.0008218
20,51.4258,0.13904,0.90467,0.99805,0.38454,0.0008119,0.0008119,0.0008119
21,53.8612,0.14574,0.92996,0.99805,0.26449,0.000802,0.000802,0.000802
22,56.2917,0.11399,0.9358,0.99805,0.22414,0.0007921,0.0007921,0.0007921
23,58.6965,0.11255,0.91634,1,0.45132,0.0007822,0.0007822,0.0007822
24,61.162,0.10941,0.92023,0.99611,0.27301,0.0007723,0.0007723,0.0007723
25,63.6305,0.12638,0.93969,0.99805,0.26785,0.0007624,0.0007624,0.0007624
26,66.028,0.10321,0.9358,0.99805,0.23592,0.0007525,0.0007525,0.0007525
27,68.4167,0.08932,0.93385,0.99805,0.19275,0.0007426,0.0007426,0.0007426
28,70.7792,0.07289,0.9144,0.99805,0.29644,0.0007327,0.0007327,0.0007327
29,74.4179,0.08672,0.9358,1,0.20569,0.0007228,0.0007228,0.0007228
30,79.6959,0.08775,0.93385,0.99805,0.30699,0.0007129,0.0007129,0.0007129
31,83.8204,0.0783,0.93969,0.99805,0.20272,0.000703,0.000703,0.000703
32,87.5759,0.08321,0.92412,1,0.22452,0.0006931,0.0006931,0.0006931
33,91.0661,0.08977,0.93191,0.99805,0.25052,0.0006832,0.0006832,0.0006832
34,95.1016,0.07712,0.92802,1,0.26069,0.0006733,0.0006733,0.0006733
35,98.9363,0.07654,0.93969,1,0.22976,0.0006634,0.0006634,0.0006634
36,102.822,0.08164,0.92996,0.99805,0.23689,0.0006535,0.0006535,0.0006535
37,106.855,0.07272,0.93774,0.99805,0.23835,0.0006436,0.0006436,0.0006436
38,110.697,0.09008,0.93774,0.99805,0.2427,0.0006337,0.0006337,0.0006337
39,114.281,0.07407,0.92218,0.99805,0.27202,0.0006238,0.0006238,0.0006238
40,118.117,0.06734,0.93969,0.99611,0.24195,0.0006139,0.0006139,0.0006139
41,121.509,0.08657,0.92996,0.99805,0.25261,0.000604,0.000604,0.000604
42,124.934,0.07159,0.94163,0.99611,0.24491,0.0005941,0.0005941,0.0005941
43,128.33,0.0713,0.93385,1,0.26404,0.0005842,0.0005842,0.0005842
44,131.749,0.06752,0.93774,1,0.2675,0.0005743,0.0005743,0.0005743
45,135.129,0.07471,0.91634,0.99805,0.23815,0.0005644,0.0005644,0.0005644
46,138.556,0.06952,0.9358,0.99805,0.22714,0.0005545,0.0005545,0.0005545
47,142.048,0.06807,0.93385,0.99416,0.23059,0.0005446,0.0005446,0.0005446
48,145.448,0.06224,0.93385,0.99611,0.29503,0.0005347,0.0005347,0.0005347
49,148.955,0.03874,0.92996,0.99611,0.24085,0.0005248,0.0005248,0.0005248
50,152.357,0.04666,0.92996,0.99805,0.24225,0.0005149,0.0005149,0.0005149
